Percentage of Edges,Number of Vertices,Number of Verifications,Execution Time,Number of Maximum Independent Vertex Sets
0,2,2,0.0,1
0,3,2,0.0,1
0,4,2,0.0,1
0,5,2,0.0,1
0,6,2,0.0,1
0,7,2,0.0,1
0,8,2,0.0,1
0,9,2,0.0,1
0,10,2,0.0,1
0,11,2,0.0,1
0,12,2,0.0,1
0,13,2,0.0,1
0,14,2,0.0,1
0,15,2,0.0,1
0,16,2,0.0,1
0,17,2,0.0,1
0,18,2,0.0,1
0,19,2,0.0,1
0,20,2,0.0,1
0,21,2,0.0,1
0,22,2,0.0,1
0,23,2,0.0,1
0,24,2,0.0,1
0,25,2,0.0,1
25,2,3,0.0,2
25,3,5,0.0,2
25,4,6,0.0,1
25,5,7,0.0,1
25,6,23,0.0,2
25,7,30,0.000997781753540039,2
25,8,94,0.0,3
25,9,47,0.0,1
25,10,57,0.0,1
25,11,233,0.0009970664978027344,2
25,12,795,0.0029916763305664062,1
25,13,1094,0.0029909610748291016,2
25,14,3474,0.01196742057800293,3
25,15,1942,0.006982326507568359,1
25,16,14894,0.04288506507873535,1
25,17,21779,0.06885528564453125,1
25,18,12617,0.05182170867919922,1
25,19,16665,0.07480430603027344,1
25,20,60461,0.2872800827026367,1
25,21,27897,0.16052651405334473,1
25,22,35444,0.22136735916137695,1
25,23,145500,0.9175975322723389,1
25,24,190052,1.3582417964935303,1
25,25,245507,2.33429217338562,1
50,2,3,0.0,2
50,3,5,0.0,1
50,4,12,0.0,3
50,5,17,0.0,2
50,6,43,0.000997304916381836,1
50,7,100,0.0,4
50,8,220,0.000997304916381836,6
50,9,383,0.0,4
50,10,639,0.000997781753540039,2
50,11,1487,0.0019958019256591797,1
50,12,3303,0.005981922149658203,6
50,13,5813,0.008977890014648438,2
50,14,12912,0.028923988342285156,3
50,15,27825,0.06981182098388672,2
50,16,50644,0.13065195083618164,3
50,17,109295,0.3087127208709717,1
50,18,230965,0.6328680515289307,3
50,19,480493,1.4772343635559082,4
50,20,910597,3.147176504135132,2
50,21,1401293,4.436450481414795,1
50,22,3593935,11.163554191589355,1
50,23,7507639,24.48781967163086,1
50,24,12236831,50.731356143951416,1
50,25,31746652,124.27026319503784,1
75,2,3,0.0,2
75,3,7,0.0,3
75,4,12,0.0,1
75,5,27,0.0,2
75,6,58,0.0,3
75,7,121,0.0009946823120117188,5
75,8,248,0.0,7
75,9,503,0.0,9
75,10,969,0.0009970664978027344,1
75,11,1982,0.0019941329956054688,2
75,12,4018,0.005941867828369141,2
75,13,8101,0.010969877243041992,4
75,14,16279,0.024935007095336914,4
75,15,32648,0.05485367774963379,5
75,16,65400,0.11373758316040039,11
75,17,130239,0.2593047618865967,1
75,18,261157,0.5585451126098633,1
75,19,523129,1.2008376121520996,4
75,20,1048366,2.545853853225708,19
75,21,2096921,6.243600368499756,15
75,22,4192511,14.884503364562988,1
75,23,8386561,30.879847049713135,2
75,24,16774892,59.28761267662048,4
75,25,33551807,132.29631900787354,5
100,2,3,0.0,2
100,3,7,0.0,3
100,4,15,0.0,4
100,5,31,0.0,5
100,6,63,0.0,6
100,7,127,0.0,7
100,8,255,0.0,8
100,9,511,0.0009961128234863281,9
100,10,1023,0.0009961128234863281,10
100,11,2047,0.001993894577026367,11
100,12,4095,0.004986763000488281,12
100,13,8191,0.010972023010253906,13
100,14,16383,0.02792525291442871,14
100,15,32767,0.05884075164794922,15
100,16,65535,0.11369538307189941,16
100,17,131071,0.26025962829589844,17
100,18,262143,0.5502521991729736,18
100,19,524287,1.1778192520141602,19
100,20,1048575,2.566981554031372,20
100,21,2097151,5.560373544692993,21
100,22,4194303,13.57362961769104,22
100,23,8388607,29.991716146469116,23
100,24,16777215,59.50580835342407,24
100,25,33554431,125.83181285858154,25
